7100 Exchange(comparisons):, 127243,122768,140034,124212,153435,130996,115896,130786,142746,130676,138791,131972,129097,124500,134410,140067,141386,125863,134267,134196,
7200 Exchange(comparisons):, 136253,131856,122867,123963,138854,129708,134075,121657,136341,161515,127785,127882,122839,126579,132708,121163,141708,133484,126592,138282,
7300 Exchange(comparisons):, 135911,130564,133112,132970,128586,137325,137464,142043,122146,130840,127581,128872,129434,118706,137613,129051,144713,134622,129582,130772,
7400 Exchange(comparisons):, 138810,154304,125450,149900,119333,122641,146990,128645,126944,127941,135738,123405,141200,146859,131250,143679,125977,138335,138595,127187,
7500 Exchange(comparisons):, 130886,123600,123971,130273,125172,136639,125921,149904,132471,134748,127894,135858,137683,134407,124490,129314,135032,123874,132572,127020,
7600 Exchange(comparisons):, 153348,140317,136359,129138,135331,131383,140782,143185,129311,143312,136721,135625,127153,128922,130998,135789,127531,125150,136293,142447,
7700 Exchange(comparisons):, 123216,127740,129592,140545,120651,126963,133719,128796,138907,122804,124165,135707,123353,128735,123276,121252,133723,140049,121841,130515,
7800 Exchange(comparisons):, 136941,139161,132319,132320,134740,134934,127065,123116,141498,135187,130061,139607,130159,148989,140387,116062,126276,134585,141414,128351,
7900 Exchange(comparisons):, 127795,125654,130925,122637,141033,133843,143433,121790,123477,129466,132067,145995,121485,127571,123145,126252,136182,131500,144356,138226,
8000 Exchange(comparisons):, 133428,134704,123492,136838,135691,136602,124582,119231,127140,121214,131686,130859,124703,141207,124263,130910,126308,122956,138329,132336,
8100 Exchange(comparisons):, 138915,119228,125818,121317,121477,120650,137829,124101,136566,133778,135138,128755,134663,123817,142156,124690,129311,137993,129489,128926,
8200 Exchange(comparisons):, 130094,128143,136087,133681,131476,133340,133222,147594,120087,130719,133470,135956,138736,127985,133714,137093,133709,132993,137915,121251,
8300 Exchange(comparisons):, 133609,134269,124219,129372,133040,134926,130648,132643,131275,122229,129794,128711,132042,143109,123910,134792,141756,127138,128633,124636,
8400 Exchange(comparisons):, 137695,141024,128789,125246,124077,128264,136228,130094,125583,123238,135143,121396,131736,138435,127764,130046,134625,122911,134143,122387,
8500 Exchange(comparisons):, 137421,122943,132122,129610,125992,139114,127433,124646,123053,133909,122180,130238,129204,142129,124884,123189,129540,132395,128155,131619,
8600 Exchange(comparisons):, 136840,131298,138308,127019,125935,130222,136873,132865,124694,131801,137459,125182,120318,142676,123276,133793,132519,120454,123564,126453,
